seed,Test RMSE,Test normalized RMSE,R_Square
1,418610.5591,0.03996228,0.984173168
1,442159.5791,0.042210366,0.982342398
1,451730.9842,0.043124092,0.981569658
1,476722.4146,0.045509876,0.979473978
1,471483.4544,0.045009744,0.979922642
1,479929.2424,0.045816013,0.9791969
1,505278.0963,0.048235919,0.976941312
1,451437.3378,0.043096059,0.981593611
1,444053.1855,0.042391138,0.982190832
1,432396.1682,0.041278311,0.9831135912
2,375921.59884739865,0.03588701707759764,0.9872365465461463
2,375727.45216060436,0.035868483038888746,0.987249726647126
2,427043.8358706813,0.04076735542134969,0.98352905353693
2,388511.54081296653,0.03708890455549088,0.9863673122063396
2,387730.3597563763,0.03701432980904241,0.9864220796443797
2,443514.85996255255,0.04233974691117855,0.9822339863463724
2,424281.8596717554,0.04050368584949567,0.9837414216529465
2,434842.873890215,0.04151188356619155,0.982921947065692
2,427114.53067636717,0.0407741042373441,0.9835235997326935
2,428967.8732798216,0.04095103192084177,0.9833803001517494
