seed,Test RMSE,Test normalized RMSE,R_Square
1,609396.3458737056,0.05692065949673826,0.9655070027586192
1,590841.906279904,0.05518758225493534,0.9675754600003237
1,742264.2602214664,0.06933118568686093,0.9488261205117444
1,641042.139811277,0.05987653455805306,0.9618315607917842
1,598105.1979793841,0.05586600994235255,0.9667733623173216
1,620535.9680623611,0.05796115579412529,0.9642344291403728
1,567258.3981112576,0.05298476491397894,0.9701122576525635
1,564315.1717939704,0.052709852889706865,0.9704215988023892
1,709626.5231184582,0.06628265818425362,0.9532274636701074
1,648919.6897372073,0.06061233702887285,0.9608877188635547
1,608873.8824454502,0.05687185880552869,0.9655661222609118
2,594806.5246993134,0.05555789739813194,0.967138855138519
2,604819.099371895,0.05649312183372741,0.9660232185628785
2,720050.5792790097,0.06725631704405355,0.9518432410359902
2,588577.8465063939,0.05497610777478652,0.9678234804712181
2,580488.6065680073,0.054220532400503355,0.9687018518134153
2,651277.4671786532,0.06083256520684334,0.960602982284825
2,507946.42317422363,0.04744473049741278,0.9760355726744375
2,587528.5166976614,0.054878095134659834,0.9679381082434637
2,600589.9642105461,0.056098099506936644,0.9664967155938028
2,659934.3001094566,0.0616411565988182,0.9595486849311868
